Time,Temp,DHT,TMP,Humidity
1934698,30.16,29.00,31.32,13.00
1944724,30.03,29.00,31.07,13.00
1954750,30.06,29.00,31.12,13.00
2024927,30.08,29.00,31.16,13.00
2135201,30.56,30.00,31.11,13.00
2145226,30.69,30.00,31.37,13.00
2165272,30.79,30.00,31.57,13.00
2175299,30.78,30.00,31.55,13.00
2205373,30.81,30.00,31.63,13.00
2265527,30.71,30.00,31.42,13.00
2295603,30.74,30.00,31.48,13.00
2355757,30.86,30.00,31.72,13.00
2395852,30.90,30.00,31.81,13.00
2405877,31.04,30.00,32.09,13.00
2425922,30.85,30.00,31.70,13.00
2435950,31.00,30.00,31.99,13.00
2445975,31.08,30.00,32.17,13.00
2456001,30.81,30.00,31.63,13.00
2466026,30.98,30.00,31.96,13.00
2476051,31.03,30.00,32.06,13.00
2486072,30.97,30.00,31.94,13.00
2496098,31.02,30.00,32.04,13.00
2516152,30.83,30.00,31.66,13.00
2526180,30.80,30.00,31.59,13.00
2546227,30.92,30.00,31.85,13.00
2556249,30.98,30.00,31.96,13.00
2566276,30.80,30.00,31.61,13.00
2586319,30.99,30.00,31.97,13.00
2636446,31.10,30.00,32.20,13.00
2646471,31.01,30.00,32.03,13.00
2656495,30.95,30.00,31.90,13.00
2706626,31.05,30.00,32.09,13.00
2716648,31.08,30.00,32.15,13.00
2766774,31.04,30.00,32.08,13.00
